"","Entry","Yield","SE","CI_L","CI_U"
"117","MON201044-MON101065-MON101082-MON101068",192.187675001636,13.7546881398083,165.224032320672,219.151317682601
"118","MON201045-MON101065-MON101082-MON101068",196.294021996444,14.2724211553885,168.31545495701,224.272589035878
"119","MON201046-MON101065-MON101082-MON101068",192.579175001636,13.7546881398083,165.615532320672,219.542817682601
"120","MON201047-MON101065-MON101082-MON101068",187.821375001636,13.7546881398083,160.857732320672,214.785017682601
"121","MON201048-MON101065-MON101082-MON101068",172.455300001636,13.7546881398083,145.491657320672,199.418942682601
"122","MON201049-MON101065-MON101082-MON101068",172.665800001636,13.7546881398083,145.702157320672,199.629442682601
"123","MON201050-MON101065-MON101082-MON101068",172.405525001636,13.7546881398083,145.441882320672,199.369167682601
"124","MON201051-MON101065-MON101082-MON101068",187.033150001636,13.7546881398083,160.069507320672,213.996792682601
"125","MON201052-MON101065-MON101082-MON101068",184.827975001636,13.7546881398083,157.864332320672,211.791617682601
"126","MON201053-MON101065-MON101082-MON101068",179.467050001636,13.7546881398083,152.503407320672,206.430692682601
"127","MON201054-MON101065-MON101082-MON101068",178.072775001636,13.7546881398083,151.109132320672,205.036417682601
"128","MON201055-MON101065-MON101082-MON101068",154.319450001636,13.7546881398083,127.355807320672,181.283092682601
"129","MON201056-MON101065-MON101082-MON101068",186.536475001636,13.7546881398083,159.572832320672,213.500117682601
"130","MON201057-MON101065-MON101082-MON101068",187.042850001636,13.7546881398083,160.079207320672,214.006492682601
"131","MON201058-MON101065-MON101082-MON101068",187.949725001636,13.7546881398083,160.986082320672,214.913367682601
"132","MON201059-MON101065-MON101082-MON101068",186.416375001636,13.7546881398083,159.452732320672,213.380017682601
"133","MON201060-MON101065-MON101082-MON101068",184.054250001636,13.7546881398083,157.090607320672,211.017892682601
"134","MON201061-MON101065-MON101082-MON101068",173.086725001636,13.7546881398083,146.123082320672,200.050367682601
"135","MON201062-MON101065-MON101082-MON101068",175.993900001636,13.7546881398083,149.030257320672,202.957542682601
"136","MON201063-MON101065-MON101082-MON101068",182.872875001636,13.7546881398083,155.909232320672,209.836517682601
"137","MON201064-MON101065-MON101082-MON101068",181.551875001636,13.7546881398083,154.588232320672,208.515517682601
"138","MON201065-MON101065-MON101082-MON101068",191.870550001636,13.7546881398083,164.906907320672,218.834192682601
"139","MON201066-MON101065-MON101082-MON101068",183.881400001636,13.7546881398083,156.917757320672,210.845042682601
"140","MON201067-MON101065-MON101082-MON101068",157.247400001636,13.7546881398083,130.283757320672,184.211042682601
"141","MON201068-MON101065-MON101082-MON101068",178.208525001636,13.7546881398083,151.244882320672,205.172167682601
"142","MON201069-MON101065-MON101082-MON101068",191.723575001636,13.7546881398083,164.759932320672,218.687217682601
"143","MON201070-MON101065-MON101082-MON101068",187.731375001636,13.7546881398083,160.767732320672,214.695017682601
"144","MON201071-MON101065-MON101082-MON101068",174.948550001636,13.7546881398083,147.984907320672,201.912192682601
"145","MON201072-MON101065-MON101082-MON101068",194.050521996444,14.2724211553885,166.07195495701,222.029089035878
"146","MON201073-MON101065-MON101082-MON101068",185.319150001636,13.7546881398083,158.355507320672,212.282792682601
"147","MON201074-MON101065-MON101082-MON101068",191.485675001636,13.7546881398083,164.522032320672,218.449317682601
"148","MON201075-MON101065-MON101082-MON101068",175.765721996444,14.2724211553885,147.78715495701,203.744289035878
"149","MON201076-MON101065-MON101082-MON101068",187.059825001636,13.7546881398083,160.096182320672,214.023467682601
"150","MON201077-MON101065-MON101082-MON101068",178.664050001636,13.7546881398083,151.700407320672,205.627692682601
"151","MON201078-MON101065-MON101082-MON101068",191.938275001636,13.7546881398083,164.974632320672,218.901917682601
"152","MON201079-MON101065-MON101082-MON101068",197.268225001636,13.7546881398083,170.304582320672,224.231867682601
"153","MON201080-MON101065-MON101082-MON101068",186.902255329777,14.2724211553885,158.923688290343,214.880822369211
"154","MON201081-MON101065-MON101082-MON101068",184.245325001636,13.7546881398083,157.281682320672,211.208967682601
"155","MON201082-MON101065-MON101082-MON101068",184.054800001636,13.7546881398083,157.091157320672,211.018442682601
"156","MON201083-MON101065-MON101082-MON101068",185.256825001636,13.7546881398083,158.293182320672,212.220467682601
"157","MON201084-MON101065-MON101082-MON101068",182.130925001636,13.7546881398083,155.167282320672,209.094567682601
"158","MON201085-MON101065-MON101082-MON101068",178.243200001636,13.7546881398083,151.279557320672,205.206842682601
"159","MON201086-MON101065-MON101082-MON101068",194.043225001636,13.7546881398083,167.079582320672,221.006867682601
"160","MON201087-MON101065-MON101082-MON101068",191.440233873261,14.2724191474337,163.461670770068,219.418796976453
"161","MON201088-MON101065-MON101082-MON101068",178.888275001636,13.7546881398083,151.924632320672,205.851917682601
"162","MON201089-MON101065-MON101082-MON101068",177.738478200874,14.2724192626335,149.759914871852,205.717041529895
"163","MON201090-MON101065-MON101082-MON101068",178.089475001636,13.7546881398083,151.125832320672,205.053117682601
"164","MON201091-MON101065-MON101082-MON101068",187.545821996444,14.2724211553885,159.56725495701,215.524389035878
"165","MON201092-MON101065-MON101082-MON101068",184.723475001636,13.7546881398083,157.759832320672,211.687117682601
"166","MON201093-MON101065-MON101082-MON101068",183.190050001636,13.7546881398083,156.226407320672,210.153692682601
"167","MON201094-MON101065-MON101082-MON101068",182.5737992693,14.2724220108878,154.59523055281,210.552367985789
"168","MON201095-MON101065-MON101082-MON101068",183.297025001636,13.7546881398083,156.333382320672,210.260667682601
"169","MON201096-MON101065-MON101082-MON101068",177.421750001636,13.7546881398083,150.458107320672,204.385392682601
"170","MON201097-MON101065-MON101082-MON101068",185.874425001636,13.7546881398083,158.910782320672,212.838067682601
"171","MON201098-MON101065-MON101082-MON101068",181.982375001636,13.7546881398083,155.018732320672,208.946017682601
"172","MON201099-MON101065-MON101082-MON101068",180.629925001636,13.7546881398083,153.666282320672,207.593567682601
"173","MON201100-MON101065-MON101082-MON101068",187.925625001636,13.7546881398083,160.961982320672,214.889267682601
"174","MON201101-MON101065-MON101082-MON101068",187.650450001636,13.7546881398083,160.686807320672,214.614092682601
"175","MON201102-MON101065-MON101082-MON101068",192.208775001636,13.7546881398083,165.245132320672,219.172417682601
"176","MON201103-MON101065-MON101082-MON101068",184.660275001636,13.7546881398083,157.696632320672,211.623917682601
"177","MON201104-MON101065-MON101082-MON101068",186.473021996444,14.2724211553885,158.49445495701,214.451589035878
"178","MON201105-MON101065-MON101082-MON101068",189.351621996444,14.2724211553885,161.37305495701,217.330189035878
"179","MON201106-MON101065-MON101082-MON101068",188.228650001636,13.7546881398083,161.265007320672,215.192292682601
"180","MON201107-MON101065-MON101082-MON101068",166.047525001636,13.7546881398083,139.083882320672,193.011167682601
"181","MON201108-MON101065-MON101082-MON101068",183.949325001636,13.7546881398083,156.985682320672,210.912967682601
"182","MON201109-MON101065-MON101082-MON101068",192.312900001636,13.7546881398083,165.349257320672,219.276542682601
"183","MON201110-MON101065-MON101082-MON101068",192.701555329777,14.2724211553885,164.722988290343,220.680122369211
"184","MON201111-MON101065-MON101082-MON101068",186.868400001636,13.7546881398083,159.904757320672,213.832042682601
"185","MON201112-MON101065-MON101082-MON101068",184.430800539927,14.2724191474337,156.452237436735,212.40936364312
"186","MON201113-MON101065-MON101082-MON101068",185.557150001636,13.7546881398083,158.593507320672,212.520792682601
"187","MON201114-MON101065-MON101082-MON101068",183.843255329777,14.2724211553885,155.864688290343,211.821822369211
"188","MON201115-MON101065-MON101082-MON101068",195.456821996444,14.2724211553885,167.47825495701,223.435389035878
"189","MON201116-MON101065-MON101082-MON101068",166.720050001636,13.7546881398083,139.756407320672,193.683692682601
"190","MON201117-MON101065-MON101082-MON101068",175.758325001636,13.7546881398083,148.794682320672,202.721967682601
"191","MON201118-MON101065-MON101082-MON101068",192.503025001636,13.7546881398083,165.539382320672,219.466667682601
"192","MON201119-MON101065-MON101082-MON101068",194.952688663111,14.2724211553885,166.974121623677,222.931255702545
"193","MON201120-MON101065-MON101082-MON101068",189.815700001636,13.7546881398083,162.852057320672,216.779342682601
"194","MON201121-MON101065-MON101082-MON101068",173.261775001636,13.7546881398083,146.298132320672,200.225417682601
"195","MON201122-MON101065-MON101082-MON101068",187.286150001636,13.7546881398083,160.322507320672,214.249792682601
"196","MON201123-MON101065-MON101082-MON101068",178.969600001636,13.7546881398083,152.005957320672,205.933242682601
"197","MON201124-MON101065-MON101082-MON101068",176.335500001636,13.7546881398083,149.371857320672,203.299142682601
"198","MON201125-MON101065-MON101082-MON101068",184.963521996444,14.2724211553885,156.98495495701,212.942089035878
"199","MON201126-MON101065-MON101082-MON101068",185.910075001636,13.7546881398083,158.946432320672,212.873717682601
"200","MON201127-MON101065-MON101082-MON101068",190.915575001636,13.7546881398083,163.951932320672,217.879217682601
"201","MON201128-MON101065-MON101082-MON101068",175.897875001636,13.7546881398083,148.934232320672,202.861517682601
"202","MON201129-MON101065-MON101082-MON101068",184.809221996444,14.2724211553885,156.83065495701,212.787789035878
"203","MON201130-MON101065-MON101082-MON101068",188.893855329777,14.2724211553885,160.915288290343,216.872422369211
"204","MON201131-MON101065-MON101082-MON101068",193.116488663111,14.2724211553885,165.137921623677,221.095055702545
"205","MON201132-MON101065-MON101082-MON101068",191.979321996444,14.2724211553885,164.00075495701,219.957889035878
"206","MON201133-MON101065-MON101082-MON101068",188.074025001636,13.7546881398083,161.110382320672,215.037667682601
"207","MON201134-MON101065-MON101082-MON101068",189.878350001636,13.7546881398083,162.914707320672,216.841992682601
"208","MON201135-MON101065-MON101082-MON101068",185.002750001636,13.7546881398083,158.039107320672,211.966392682601
"209","MON201136-MON101065-MON101082-MON101068",181.294188663111,14.2724211553885,153.315621623677,209.272755702545
"210","MON201137-MON101065-MON101082-MON101068",183.858088663111,14.2724211553885,155.879521623677,211.836655702545
"211","MON201138-MON101065-MON101082-MON101068",193.495625001636,13.7546881398083,166.531982320672,220.459267682601
"212","MON201139-MON101065-MON101082-MON101068",178.538825001636,13.7546881398083,151.575182320672,205.502467682601
"213","MON201140-MON101065-MON101082-MON101068",185.925521996444,14.2724211553885,157.94695495701,213.904089035878
"214","MON201141-MON101065-MON101082-MON101068",188.023225001636,13.7546881398083,161.059582320672,214.986867682601
"215","MON201142-MON101065-MON101082-MON101068",176.550875001636,13.7546881398083,149.587232320672,203.514517682601
"216","MON201143-MON101065-MON101082-MON101068",190.203425001636,13.7546881398083,163.239782320672,217.167067682601
"217","MON201144-MON101065-MON101082-MON101068",178.762875001636,13.7546881398083,151.799232320672,205.726517682601
