factor1,absoluteRange,absoluteColumn,locationID,repId,response
"MON201260,MON101065,MON101082,MON101068",1,1,ARJO,1,154.6986
"MON201259,MON101065,MON101082,MON101068",1,1,ARJO,1,175.4248
MON101066,1,1,ARJO,1,162.5154
"MON101347,MON101065,MON101068,MON101082",1,1,ARJO,1,166.3905
"MON101065,MON101082,MON101068",1,1,ARJO,1,174.2331
"MON101065,MON101082,MON101068",1,1,ARJO,1,190.8018
"MON201353,MON101065,MON101082,MON101068",1,1,ARJO,1,177.0187
"MON201354,MON101065,MON101082,MON101068",1,1,ARJO,1,146.6617
"MON201356,MON101065,MON101082,MON101068",1,1,ARJO,1,162.9723
"MON201519,MON101065,MON101082,MON101068",1,1,ARJO,1,183.9489
"MON201330,MON101065,MON101082,MON101068",1,1,ARJO,1,189.0664
"MON201329,MON101065,MON101082,MON101068",1,1,ARJO,1,151.4015
"MON201328,MON101065,MON101082,MON101068",1,1,ARJO,1,156.6632
"MON201327,MON101065,MON101082,MON101068",1,1,ARJO,1,157.5077
"MON201326,MON101065,MON101082,MON101068",1,1,ARJO,1,177.9488
"MON201325,MON101065,MON101082,MON101068",1,1,ARJO,1,177.3289
"MON201314,MON101065,MON101082,MON101068",1,1,ARJO,1,141.1113
"MON201313,MON101065,MON101082,MON101068",1,1,ARJO,1,176.0099
"MON201312,MON101065,MON101082,MON101068",1,1,ARJO,1,159.1661
"MON201311,MON101065,MON101082,MON101068",1,1,ARJO,1,167.29
"MON201310,MON101065,MON101082,MON101068",1,1,ARJO,1,179.6012
"MON201309,MON101065,MON101082,MON101068",1,1,ARJO,1,168.0218
"MON201308,MON101065,MON101082,MON101068",1,1,ARJO,1,178.0043
"MON201307,MON101065,MON101082,MON101068",1,1,ARJO,1,173.7299
"MON201306,MON101065,MON101082,MON101068",1,1,ARJO,1,157.6329
"MON201305,MON101065,MON101082,MON101068",1,1,ARJO,1,158.853
"MON201294,MON101065,MON101082,MON101068",1,1,ARJO,1,165.7836
"MON201293,MON101065,MON101082,MON101068",1,1,ARJO,1,166.797
"MON201292,MON101065,MON101082,MON101068",1,1,ARJO,1,191.2226
